mode,scenario,task,immediate_acc,final_acc,delta
replay_stateful,cil,Subject_1_Exercise_1,0.08347826086956522,0.8991304347826087,0.8156521739130435
replay_stateful,cil,Subject_1_Exercise_2,0.8487084870848709,0.8929889298892989,0.044280442804428
replay_stateful,cil,Subject_1_Exercise_3,0.8010416666666667,0.8010416666666667,0.0
replay_stateful,cil,Subject_8_Exercise_1,0.2979094076655052,0.9146341463414634,0.6167247386759582
replay_stateful,cil,Subject_8_Exercise_2,0.33004926108374383,0.8830049261083743,0.5529556650246306
replay_stateful,cil,Subject_8_Exercise_3,0.7539650264335096,0.7539650264335096,0.0
replay_stateful,cil,Subject_8_Exercise_1,0.8989547038327527,0.9355400696864111,0.03658536585365846
replay_stateful,cil,Subject_8_Exercise_2,0.8374384236453202,0.8848522167487685,0.04741379310344829
replay_stateful,cil,Subject_8_Exercise_3,0.7295648637657585,0.7295648637657585,0.0
replay_stateful,cil,Subject_10_Exercise_1,0.8369659982563208,0.8639930252833479,0.027027027027027084
replay_stateful,cil,Subject_10_Exercise_2,0.7897971727105101,0.8592501536570375,0.06945298094652741
replay_stateful,cil,Subject_10_Exercise_3,0.7974828375286042,0.7974828375286042,0.0
replay_stateful,cil,Subject_10_Exercise_1,0.6530078465562337,0.8570183086312119,0.2040104620749782
replay_stateful,cil,Subject_10_Exercise_2,0.7043638598647818,0.8266748617086662,0.12231100184388444
replay_stateful,cil,Subject_10_Exercise_3,0.7448512585812357,0.7448512585812357,0.0
herding_stateful,cil,Subject_2_Exercise_1,0.7344978165938865,0.6864628820960699,-0.048034934497816595
herding_stateful,cil,Subject_2_Exercise_2,0.8594327990135635,0.8723797780517879,0.012946979038224393
herding_stateful,cil,Subject_2_Exercise_3,0.8439108061749572,0.8439108061749572,0.0
replay_stateful,cil,Subject_2_Exercise_1,0.11266375545851529,0.7903930131004366,0.6777292576419214
replay_stateful,cil,Subject_2_Exercise_2,0.7903822441430333,0.8766954377311961,0.0863131935881628
replay_stateful,cil,Subject_2_Exercise_3,0.7183533447684392,0.7183533447684392,0.0
ewc_stateful,cil,Subject_1_Exercise_1,0.8521739130434782,0.731304347826087,-0.12086956521739123
ewc_stateful,cil,Subject_1_Exercise_2,0.8683886838868389,0.7945879458794588,-0.07380073800738007
ewc_stateful,cil,Subject_1_Exercise_3,0.8486111111111111,0.8486111111111111,0.0
stateless,cil,Subject_1_Exercise_1,0.8817391304347826,0.74,-0.1417391304347826
stateless,cil,Subject_1_Exercise_2,0.9059040590405905,0.7244772447724477,-0.18142681426814278
stateless,cil,Subject_1_Exercise_3,0.8795138888888889,0.8795138888888889,0.0
replay_stateful,cil,Subject_4_Exercise_1,0.7253705318221447,0.8186573670444638,0.09328683522231906
replay_stateful,cil,Subject_4_Exercise_2,0.7818070067609096,0.8426551936078672,0.060848186846957586
replay_stateful,cil,Subject_4_Exercise_3,0.6770186335403726,0.6770186335403726,0.0
replay_stateful,cil,Subject_7_Exercise_1,0.7297297297297297,0.7741935483870968,0.04446381865736704
replay_stateful,cil,Subject_7_Exercise_2,0.25352977286678946,0.8403928790669122,0.5868631062001227
replay_stateful,cil,Subject_7_Exercise_3,0.7086044830079538,0.7086044830079538,0.0
ewc_stateful,cil,Subject_10_Exercise_1,0.8535309503051438,0.6974716652136007,-0.1560592850915431
ewc_stateful,cil,Subject_10_Exercise_2,0.8500307314074985,0.784880147510756,-0.06515058389674255
ewc_stateful,cil,Subject_10_Exercise_3,0.8405797101449275,0.8405797101449275,0.0
replay_stateful,cil,Subject_3_Exercise_1,0.8620087336244542,0.7764192139737991,-0.08558951965065509
replay_stateful,cil,Subject_3_Exercise_2,0.13008631319358815,0.8655980271270037,0.7355117139334155
replay_stateful,cil,Subject_3_Exercise_3,0.6788243626062322,0.6788243626062322,0.0
stateful,cil,Subject_10_Exercise_1,0.0967741935483871,0.7454228421970357,0.6486486486486486
stateful,cil,Subject_10_Exercise_2,0.6760909649661955,0.7658266748617086,0.08973570989551316
stateful,cil,Subject_10_Exercise_3,0.8001525553012967,0.8001525553012967,0.0
replay_stateful,unknown,subject_1,0.8443478260869566,0.8452173913043478,0.0008695652173912327
replay_stateful,unknown,subject_2,0.8576419213973799,0.7921397379912664,-0.06550218340611358
replay_stateful,unknown,subject_3,0.8288209606986899,0.7825327510917031,-0.046288209606986874
replay_stateful,unknown,subject_4,0.7646033129904097,0.7515257192676548,-0.013077593722754965
replay_stateful,unknown,subject_5,0.6498257839721254,0.6689895470383276,0.019163763066202155
replay_stateful,unknown,subject_6,0.7497827975673328,0.6828844483058211,-0.06689834926151172
replay_stateful,unknown,subject_7,0.7698343504795118,0.6974716652136007,-0.07236268526591105
replay_stateful,unknown,subject_8,0.9067944250871081,0.8858885017421603,-0.020905923344947785
replay_stateful,unknown,subject_9,0.5888501742160279,0.5609756097560976,-0.027874564459930307
replay_stateful,unknown,subject_10,0.8448125544899738,0.8020924149956408,-0.042720139494333065
replay_stateful,unknown,subject_11,0.6953872932985204,0.639686684073107,-0.05570060922541342
replay_stateful,unknown,subject_12,0.6840731070496083,0.6414273281114012,-0.04264577893820709
replay_stateful,unknown,subject_13,0.8311575282854656,0.8433420365535248,0.012184508268059169
replay_stateful,unknown,subject_14,0.8160418482999128,0.7750653879686138,-0.04097646033129898
replay_stateful,unknown,subject_15,0.8591184096802075,0.790838375108038,-0.06828003457216947
replay_stateful,unknown,subject_16,0.854419410745234,0.8180242634315424,-0.036395147313691534
replay_stateful,unknown,subject_17,0.9015544041450777,0.9084628670120898,0.006908462867012077
replay_stateful,unknown,subject_18,0.7163920208152645,0.6886383347788378,-0.027753686036426695
replay_stateful,unknown,subject_19,0.8214904679376083,0.779896013864818,-0.04159445407279028
replay_stateful,unknown,subject_20,0.9152981849611063,0.9144338807260155,-0.0008643042350907626
replay_stateful,unknown,subject_21,0.9421915444348576,0.9456427955133736,0.00345125107851596
replay_stateful,unknown,subject_22,0.7646551724137931,0.7336206896551725,-0.03103448275862064
replay_stateful,unknown,subject_23,0.8214904679376083,0.8076256499133448,-0.013864818024263426
replay_stateful,unknown,subject_24,0.8921484037963762,0.8964624676445211,0.004314063848144922
replay_stateful,unknown,subject_25,0.8401037165082109,0.7536732929991357,-0.08643042350907526
replay_stateful,unknown,subject_26,0.8264248704663213,0.8324697754749568,0.006044905008635526
replay_stateful,unknown,subject_27,0.5326370757180157,0.5326370757180157,0.0
ewc_stateful,cil,Subject_9_Exercise_1,0.7874564459930313,0.6855400696864111,-0.1019163763066202
ewc_stateful,cil,Subject_9_Exercise_2,0.8450184501845018,0.7767527675276753,-0.06826568265682653
ewc_stateful,cil,Subject_9_Exercise_3,0.8430059523809523,0.8430059523809523,0.0
replay_stateful,cil,Subject_3_Exercise_1,0.8349344978165939,0.8296943231441049,-0.005240174672489051
replay_stateful,cil,Subject_3_Exercise_2,0.842786683107275,0.8643649815043156,0.02157829839704062
replay_stateful,cil,Subject_3_Exercise_3,0.6065864022662889,0.6065864022662889,0.0
ewc_stateful,cil,Subject_8_Exercise_1,0.08449477351916376,0.7961672473867596,0.7116724738675958
ewc_stateful,cil,Subject_8_Exercise_2,0.8165024630541872,0.7721674876847291,-0.044334975369458074
ewc_stateful,cil,Subject_8_Exercise_3,0.7173647824318828,0.7173647824318828,0.0
replay_stateful,cil,Subject_1_Exercise_1,0.08695652173913043,0.8730434782608696,0.7860869565217392
