mode,scenario,task,immediate_acc,final_acc,delta
stateful,cil,Subject_1_Exercise_1,0.8617391304347826,0.7678260869565218,-0.0939130434782608
stateful,cil,Subject_1_Exercise_2,0.9200492004920049,0.7736777367773677,-0.14637146371463716
stateful,cil,Subject_1_Exercise_3,0.8607638888888889,0.8607638888888889,0.0
ewc_stateful,cil,Subject_1_Exercise_1,0.8878260869565218,0.7504347826086957,-0.1373913043478261
ewc_stateful,cil,Subject_1_Exercise_2,0.9126691266912669,0.7749077490774908,-0.13776137761377605
ewc_stateful,cil,Subject_1_Exercise_3,0.8666666666666667,0.8666666666666667,0.0
stateful,cil,Subject_8_Exercise_1,0.9337979094076655,0.7961672473867596,-0.1376306620209059
stateful,cil,Subject_8_Exercise_2,0.9291871921182266,0.7697044334975369,-0.15948275862068972
stateful,cil,Subject_8_Exercise_3,0.8084587230581537,0.8084587230581537,0.0
ewc_stateful,cil,Subject_8_Exercise_1,0.9337979094076655,0.7935540069686411,-0.1402439024390244
ewc_stateful,cil,Subject_8_Exercise_2,0.9057881773399015,0.7783251231527094,-0.12746305418719206
ewc_stateful,cil,Subject_8_Exercise_3,0.7657584383895892,0.7657584383895892,0.0
ewc_stateful,cil,Subject_3_Exercise_1,0.8585152838427947,0.6270742358078603,-0.23144104803493448
ewc_stateful,cil,Subject_3_Exercise_2,0.8951911220715166,0.7786683107274969,-0.11652281134401976
ewc_stateful,cil,Subject_3_Exercise_3,0.8002832861189801,0.8002832861189801,0.0
ewc_stateful,cil,Subject_7_Exercise_1,0.7907585004359198,0.5719267654751525,-0.21883173496076724
ewc_stateful,cil,Subject_7_Exercise_2,0.8588090853284224,0.7476979742173112,-0.11111111111111116
ewc_stateful,cil,Subject_7_Exercise_3,0.8647866955892987,0.8647866955892987,0.0
ewc_stateful,cil,Subject_2_Exercise_1,0.874235807860262,0.6017467248908297,-0.2724890829694323
ewc_stateful,cil,Subject_2_Exercise_2,0.8865598027127004,0.7053020961775586,-0.18125770653514184
ewc_stateful,cil,Subject_2_Exercise_3,0.8631217838765008,0.8631217838765008,0.0
stateful,cil,Subject_2_Exercise_1,0.8751091703056768,0.5563318777292576,-0.3187772925764192
stateful,cil,Subject_2_Exercise_2,0.8871763255240444,0.7151664611590629,-0.17200986436498145
stateful,cil,Subject_2_Exercise_3,0.8507718696397941,0.8507718696397941,0.0
stateful,cil,Subject_7_Exercise_1,0.7986050566695728,0.5553618134263295,-0.2432432432432433
stateful,cil,Subject_7_Exercise_2,0.8766114180478821,0.7341927562922038,-0.1424186617556783
stateful,cil,Subject_7_Exercise_3,0.8311641359363702,0.8311641359363702,0.0
ewc_stateful,cil,Subject_4_Exercise_1,0.7733217088055798,0.5902353966870096,-0.18308631211857018
ewc_stateful,cil,Subject_4_Exercise_2,0.8451137062077443,0.7430854333128457,-0.10202827289489858
ewc_stateful,cil,Subject_4_Exercise_3,0.7674689440993789,0.7674689440993789,0.0
stateful,cil,Subject_3_Exercise_1,0.8847161572052402,0.5589519650655022,-0.32576419213973806
stateful,cil,Subject_3_Exercise_2,0.9025893958076449,0.718865598027127,-0.18372379778051784
stateful,cil,Subject_3_Exercise_3,0.6947592067988668,0.6947592067988668,0.0
ewc_stateful,cil,Subject_6_Exercise_1,0.7593397046046916,0.5516941789748045,-0.20764552562988703
ewc_stateful,cil,Subject_6_Exercise_2,0.8027043638598648,0.5845113706207744,-0.21819299323909036
ewc_stateful,cil,Subject_6_Exercise_3,0.832870186581977,0.832870186581977,0.0
stateful,cil,Subject_6_Exercise_1,0.7619461337966985,0.5395308427454387,-0.2224152910512598
stateful,cil,Subject_6_Exercise_2,0.7393976644130301,0.5974185617701291,-0.14197910264290103
stateful,cil,Subject_6_Exercise_3,0.8161969035331481,0.8161969035331481,0.0
stateful,cil,Subject_4_Exercise_1,0.7707061900610288,0.5047951176983435,-0.2659110723626853
stateful,cil,Subject_4_Exercise_2,0.8537185003073141,0.7240319606637984,-0.12968653964351573
stateful,cil,Subject_4_Exercise_3,0.6774068322981367,0.6774068322981367,0.0
ewc_stateful,cil,Subject_9_Exercise_1,0.681184668989547,0.5156794425087108,-0.1655052264808362
ewc_stateful,cil,Subject_9_Exercise_2,0.8345633456334564,0.5922509225092251,-0.2423124231242313
ewc_stateful,cil,Subject_9_Exercise_3,0.7976190476190477,0.7976190476190477,0.0
stateful,cil,Subject_9_Exercise_1,0.5670731707317073,0.5261324041811847,-0.04094076655052259
stateful,cil,Subject_9_Exercise_2,0.8148831488314883,0.559040590405904,-0.25584255842558423
stateful,cil,Subject_9_Exercise_3,0.8191964285714286,0.8191964285714286,0.0
stateful,cil,Subject_10_Exercise_1,0.8204010462074979,0.36704446381865735,-0.4533565823888405
stateful,cil,Subject_10_Exercise_2,0.8709280885064536,0.6490473263675476,-0.22188076213890606
stateful,cil,Subject_10_Exercise_3,0.8173150266971777,0.8173150266971777,0.0
ewc_stateful,cil,Subject_10_Exercise_1,0.7794245858761988,0.3060156931124673,-0.4734088927637315
ewc_stateful,cil,Subject_10_Exercise_2,0.8801475107559926,0.5402581438229871,-0.33988936693300553
ewc_stateful,cil,Subject_10_Exercise_3,0.8276125095347063,0.8276125095347063,0.0
ewc_stateful,dil,subject_1,0.8686956521739131,0.8043478260869565,-0.06434782608695655
ewc_stateful,dil,subject_2,0.879475982532751,0.4375545851528384,-0.44192139737991265
ewc_stateful,dil,subject_3,0.8349344978165939,0.6672489082969433,-0.16768558951965062
ewc_stateful,dil,subject_4,0.7855274629468177,0.5832606800348736,-0.2022667829119441
ewc_stateful,dil,subject_5,0.6898954703832753,0.4381533101045296,-0.25174216027874563
ewc_stateful,dil,subject_6,0.790616854908775,0.4900086880973067,-0.3006081668114683
ewc_stateful,dil,subject_7,0.7785527462946817,0.5213600697471665,-0.2571926765475152
ewc_stateful,dil,subject_8,0.9259581881533101,0.3702090592334495,-0.5557491289198606
ewc_stateful,dil,subject_9,0.6907665505226481,0.3606271777003484,-0.3301393728222997
ewc_stateful,dil,subject_10,0.8439407149084568,0.6120313862249346,-0.2319093286835222
ewc_stateful,dil,subject_11,0.7232375979112271,0.4456048738033072,-0.2776327241079199
ewc_stateful,dil,subject_12,0.6858137510879025,0.2463011314186249,-0.4395126196692777
ewc_stateful,dil,subject_13,0.8581375108790252,0.11662315056570931,-0.741514360313316
ewc_stateful,dil,subject_14,0.7863993025283348,0.6782911944202267,-0.10810810810810811
ewc_stateful,dil,subject_15,0.8686257562662058,0.6732929991356957,-0.19533275713051002
ewc_stateful,dil,subject_16,0.8864818024263431,0.7616984402079723,-0.12478336221837083
ewc_stateful,dil,subject_17,0.9075993091537133,0.6269430051813472,-0.2806563039723662
ewc_stateful,dil,subject_18,0.7094535993061578,0.6123156981786644,-0.09713790112749343
ewc_stateful,dil,subject_19,0.7417677642980935,0.2729636048526863,-0.46880415944540726
ewc_stateful,dil,subject_20,0.7441659464131374,0.8297320656871219,0.0855661192739845
ewc_stateful,dil,subject_21,0.9430543572044866,0.728213977566868,-0.2148403796376186
ewc_stateful,dil,subject_22,0.7,0.41206896551724137,-0.2879310344827586
ewc_stateful,dil,subject_23,0.58578856152513,0.6282495667244368,0.042461005199306734
ewc_stateful,dil,subject_24,0.8334771354616048,0.7825711820534944,-0.05090595340811044
ewc_stateful,dil,subject_25,0.5246326707000865,0.7139152981849611,0.18928262748487468
ewc_stateful,dil,subject_26,0.7746113989637305,0.729706390328152,-0.04490500863557856
ewc_stateful,dil,subject_27,0.4134029590948651,0.4134029590948651,0.0
stateful,cil,Subject_5_Exercise_1,0.6750871080139372,0.3710801393728223,-0.3040069686411149
stateful,cil,Subject_5_Exercise_2,0.6268472906403941,0.3983990147783251,-0.228448275862069
stateful,cil,Subject_5_Exercise_3,0.7065341994650363,0.7065341994650363,0.0
stateful,dil,subject_1,0.8843478260869565,0.7808695652173913,-0.10347826086956524
stateful,dil,subject_2,0.8847161572052402,0.36331877729257644,-0.5213973799126638
stateful,dil,subject_3,0.8864628820960698,0.6218340611353712,-0.2646288209606986
stateful,dil,subject_4,0.7410636442894507,0.4734088927637315,-0.2676547515257192
stateful,dil,subject_5,0.5775261324041812,0.3693379790940767,-0.20818815331010448
stateful,dil,subject_6,0.7984361424847958,0.4309296264118158,-0.36750651607297996
stateful,dil,subject_7,0.7768090671316478,0.45510026155187444,-0.3217088055797733
stateful,dil,subject_8,0.9285714285714286,0.22822299651567945,-0.7003484320557491
stateful,dil,subject_9,0.7221254355400697,0.31881533101045295,-0.40331010452961674
stateful,dil,subject_10,0.8578901482127289,0.43766346992153443,-0.4202266782911945
stateful,dil,subject_11,0.6892950391644909,0.3072236727589208,-0.38207136640557005
stateful,dil,subject_12,0.7171453437771975,0.16884247171453437,-0.5483028720626631
stateful,dil,subject_13,0.8424717145343777,0.05657093124456049,-0.7859007832898173
stateful,dil,subject_14,0.7340889276373147,0.5056669572798606,-0.22842197035745415
stateful,dil,subject_15,0.8556611927398444,0.5306828003457217,-0.32497839239412274
stateful,dil,subject_16,0.8561525129982669,0.5814558058925476,-0.27469670710571925
stateful,dil,subject_17,0.8592400690846287,0.5164075993091537,-0.342832469775475
stateful,dil,subject_18,0.6929748482220295,0.4778837814397225,-0.215091066782307
stateful,dil,subject_19,0.8180242634315424,0.17677642980935876,-0.6412478336221836
stateful,dil,subject_20,0.9031979256698358,0.7095937770095073,-0.1936041486603285
stateful,dil,subject_21,0.910267471958585,0.6471095772217429,-0.26315789473684215
stateful,dil,subject_22,0.6706896551724137,0.24913793103448276,-0.42155172413793096
stateful,dil,subject_23,0.7547660311958405,0.4731369150779896,-0.2816291161178509
stateful,dil,subject_24,0.8386540120793787,0.6902502157031924,-0.14840379637618628
stateful,dil,subject_25,0.780466724286949,0.6136560069144339,-0.16681071737251507
stateful,dil,subject_26,0.7642487046632125,0.5181347150259067,-0.2461139896373058
stateful,dil,subject_27,0.4351610095735422,0.4351610095735422,0.0
ewc_stateful,cil,Subject_5_Exercise_1,0.7395470383275261,0.2621951219512195,-0.4773519163763066
ewc_stateful,cil,Subject_5_Exercise_2,0.645320197044335,0.3565270935960591,-0.28879310344827586
ewc_stateful,cil,Subject_5_Exercise_3,0.6656476881925869,0.6656476881925869,0.0
