mode,scenario,task,immediate_acc,final_acc,delta
stateful,cil,Subject_1_Exercise_1,0.8460869565217392,0.7765217391304348,-0.06956521739130439
stateful,cil,Subject_1_Exercise_2,0.8480934809348093,0.7822878228782287,-0.06580565805658056
stateful,cil,Subject_1_Exercise_3,0.821875,0.821875,0.0
ewc_stateful,cil,Subject_1_Exercise_1,0.8339130434782609,0.7713043478260869,-0.06260869565217397
ewc_stateful,cil,Subject_1_Exercise_2,0.8487084870848709,0.7810578105781057,-0.06765067650676515
ewc_stateful,cil,Subject_1_Exercise_3,0.8114583333333333,0.8114583333333333,0.0
stateful,cil,Subject_8_Exercise_1,0.872822299651568,0.8022648083623694,-0.07055749128919864
stateful,cil,Subject_8_Exercise_2,0.8380541871921182,0.7832512315270936,-0.05480295566502458
stateful,cil,Subject_8_Exercise_3,0.777551850345669,0.777551850345669,0.0
ewc_stateful,cil,Subject_8_Exercise_1,0.8702090592334495,0.7961672473867596,-0.0740418118466899
ewc_stateful,cil,Subject_8_Exercise_2,0.8300492610837439,0.7777093596059114,-0.05233990147783252
ewc_stateful,cil,Subject_8_Exercise_3,0.7641317608784058,0.7641317608784058,0.0
ewc_stateful,cil,Subject_2_Exercise_1,0.8139737991266376,0.6358078602620088,-0.17816593886462884
ewc_stateful,cil,Subject_2_Exercise_2,0.8230579531442663,0.7644882860665845,-0.05856966707768185
ewc_stateful,cil,Subject_2_Exercise_3,0.8226415094339623,0.8226415094339623,0.0
stateful,cil,Subject_3_Exercise_1,0.8131004366812227,0.6541484716157205,-0.15895196506550213
stateful,cil,Subject_3_Exercise_2,0.8255240443896424,0.779901356350185,-0.04562268803945746
stateful,cil,Subject_3_Exercise_3,0.7825779036827195,0.7825779036827195,0.0
ewc_stateful,cil,Subject_7_Exercise_1,0.7567567567567568,0.6564952048823016,-0.10026155187445518
ewc_stateful,cil,Subject_7_Exercise_2,0.7863720073664825,0.7593615715162676,-0.027010435850214898
ewc_stateful,cil,Subject_7_Exercise_3,0.7866955892986262,0.7866955892986262,0.0
stateful,cil,Subject_10_Exercise_1,0.8064516129032258,0.6434176111595467,-0.1630340017436791
stateful,cil,Subject_10_Exercise_2,0.8125384142593731,0.7283343577135832,-0.08420405654578988
stateful,cil,Subject_10_Exercise_3,0.8180778032036613,0.8180778032036613,0.0
ewc_stateful,cil,Subject_3_Exercise_1,0.8288209606986899,0.645414847161572,-0.1834061135371179
ewc_stateful,cil,Subject_3_Exercise_2,0.8236744759556104,0.7675709001233045,-0.05610357583230585
ewc_stateful,cil,Subject_3_Exercise_3,0.7584985835694051,0.7584985835694051,0.0
stateful,cil,Subject_7_Exercise_1,0.7776809067131648,0.6425457715780296,-0.1351351351351352
stateful,cil,Subject_7_Exercise_2,0.8146101903007981,0.7397176181706568,-0.07489257213014122
stateful,cil,Subject_7_Exercise_3,0.7765726681127982,0.7765726681127982,0.0
ewc_stateful,cil,Subject_9_Exercise_1,0.7177700348432056,0.6149825783972126,-0.10278745644599296
ewc_stateful,cil,Subject_9_Exercise_2,0.8001230012300123,0.7214022140221402,-0.07872078720787212
ewc_stateful,cil,Subject_9_Exercise_3,0.8136160714285714,0.8136160714285714,0.0
stateful,cil,Subject_2_Exercise_1,0.8026200873362446,0.5737991266375546,-0.22882096069868996
stateful,cil,Subject_2_Exercise_2,0.8162762022194822,0.7250308261405672,-0.09124537607891492
stateful,cil,Subject_2_Exercise_3,0.8109777015437393,0.8109777015437393,0.0
